"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"UTXW",96.8,"FR",0,"Asian","b","N","Y","N","N","0",78,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,12
"UTXW",87.3,"FR",0,"Other","b","N","Y","N","N","0",87,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,14
"UTXW",73.8,"FR",0,"Asian","b","DK","DK","N","N","0",78,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,8
"UTXW",85.1,"FR",0,"Black","b","N","DK","N","N","0",78,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,10
"UTXW",91.4,"FR",0,"Mixed","b","DK","N","N","N","0",78,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,13
"ACUP",83.2,"SO",0,"White","b","Y","Y","Y","N","1-10",78,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,15
"ACUP",83.2,"FR",0,"Asian","b","N","N","N","N","11-19",87,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,8
"ACUP",95.41,"FR",0,"Hispanic","b","Y","Y","N","N","11-19",78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,17
"ACUP",85.6,"FR",0,"White","b","DK","Y","N","Y","11-19",78,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,8
"ACUP",80.41,"SO",0,"Hispanic","c","DK","Y","Y","Y","11-19",87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
"TAMU",83.9,"FR",0,"White","a. Sci","Y","Y","N","N","0",87,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,5
"TAMSA",72.3,"SO",0,"Hispanic","b","N","N","N","N","0",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMSA",56.4,"SO",0,"Hispanic","a. Sci","N","N","N","N","0",87,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,7
"TAMSA",38.1,"JR",0,"Hispanic","a. Sci","N","N","N","N","0",87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"TAMSA",66,"SO",0,"Hispanic","b","N","N","N","N","0",87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"TAMSA",74,"JR",0,"Hispanic","b","N","N","N","N","0",87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4
"TAMSA",94,"FR",0,"Mixed","a. Sci","N","N","N","N","0",87,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,8
"TAMU",46.6,"FR",0,"Hispanic","a. Sci","N","N","N","N","0",87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"TAMU",66.7,"FR",0,"Hispanic","STEM & b","N","N","N","N","0",87,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,11
"TAMU",70.7,"FR",0,"White","b","N","N","N","N","0",78,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,5
"TAMU",84.2,"FR",0,"White","a. Sci","N","N","N","N","0",78,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,14
"TAMU",77.1,"FR",0,"Black","b","N","N","N","N","0",87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
"TAMU",65.5,"FR",0,"Mixed","b","N","N","N","N","0",78,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7
"TAMU",62.4,"FR",0,"Hispanic","a. Sci","N","N","N","N","0",78,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,15
"TAMU",72,"JR",0,"Asian","a. Sci","N","N","N","N","0",78,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,13
"TAMU",56.5,"SO",0,"White","","N","N","N","N","0",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
"TAMU",88.6,"SO",0,"White","b","N","N","N","N","0",78,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5
"TAMU",88.6,"FR",0,"Hispanic","a. Sci","N","N","N","N","0",78,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,16
"TAMU",59.8,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,12
"TAMU",74.8,"SO",0,"Hispanic","a. Sci","N","N","N","N","0",78,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
